|||Sütunlar|
Satırlar|||Tüketici Madde Fiyatları (2003=100)|
|||Türkiye-TR|
||||
||0830009. (İnternet Ücreti)|37.009|
|06-Haziran|0122101. (Su)|0.3021|
||0451001. (Elektrik Ücreti)|0.2648|
||0452101. (Doğal Gaz)|0.7236|
||0830009. (İnternet Ücreti)|37.009|
|07-Temmuz|0122101. (Su)|0.3026|
||0451001. (Elektrik Ücreti)|0.2647|
||0452101. (Doğal Gaz)|0.7245|
||0830009. (İnternet Ücreti)|37.009|
|08-Ağustos|0122101. (Su)|0.3027|
||0451001. (Elektrik Ücreti)|0.2647|
||0452101. (Doğal Gaz)|0.7252|
||0830009. (İnternet Ücreti)|37.009|
|09-Eylül|0122101. (Su)|0.3024|
||0451001. (Elektrik Ücreti)|0.2647|
||0452101. (Doğal Gaz)|0.7267|
||0830009. (İnternet Ücreti)|37.009|
|10-Ekim|0122101. (Su)|0.3051|
||0451001. (Elektrik Ücreti)|0.2958|
||0452101. (Doğal Gaz)|0.8185|
||0830009. (İnternet Ücreti)|37.009|
|11-Kasım|0122101. (Su)|0.3075|
||0451001. (Elektrik Ücreti)|0.2958|
||0452101. (Doğal Gaz)|0.8209|
||0830009. (İnternet Ücreti)|37.009|
|12-Aralık|0122101. (Su)|0.3082|
||0451001. (Elektrik Ücreti)|0.2958|
||0452101. (Doğal Gaz)|0.8212|
||0830009. (İnternet Ücreti)|37.009|
2012|01-Ocak|0122101. (Su)|0.3453|
||0451001. (Elektrik Ücreti)|0.2976|
||0452101. (Doğal Gaz)|0.8232|
||0830009. (İnternet Ücreti)|37.5724|
|02-Şubat|0122101. (Su)|0.3474|
||0451001. (Elektrik Ücreti)|0.2976|
||0452101. (Doğal Gaz)|0.8244|
||0830009. (İnternet Ücreti)|37.5724|
|03-Mart|0122101. (Su)|0.3497|
||0451001. (Elektrik Ücreti)|0.2976|
||0452101. (Doğal Gaz)|0.823|
||0830009. (İnternet Ücreti)|37.5724|
|04-Nisan|0122101. (Su)|0.3537|
||0451001. (Elektrik Ücreti)|0.3252|
||0452101. (Doğal Gaz)|0.9602|
||0830009. (İnternet Ücreti)|37.8329|
|05-Mayıs|0122101. (Su)|0.355|
||0451001. (Elektrik Ücreti)|0.3252|
||0452101. (Doğal Gaz)|0.9608|
||0830009. (İnternet Ücreti)|37.8329|
|06-Haziran|0122101. (Su)|0.3545|
||0451001. (Elektrik Ücreti)|0.3252|
||0452101. (Doğal Gaz)|0.9607|
||0830009. (İnternet Ücreti)|37.8329|
|07-Temmuz|0122101. (Su)|0.3541|
||0451001. (Elektrik Ücreti)|0.3252|
||0452101. (Doğal Gaz)|0.962|
||0830009. (İnternet Ücreti)|37.8329|
|08-Ağustos|0122101. (Su)|0.3564|
||0451001. (Elektrik Ücreti)|0.3252|
||0452101. (Doğal Gaz)|0.9604|
||0830009. (İnternet Ücreti)|37.8329|
|09-Eylül|0122101. (Su)|0.3597|
||0451001. (Elektrik Ücreti)|0.3252|
||0452101. (Doğal Gaz)|0.9601|
||0830009. (İnternet Ücreti)|37.8329|
